"id";"status";"currency";"type";"tax_amount";"total_amount";"customer_id";"billing_email";"date_created_gmt";"date_updated_gmt";"parent_order_id";"payment_method";"payment_method_title";"transaction_id";"ip_address";"user_agent";"customer_note"
"1036";"wc-processing";"IDR";"shop_order";"0,00000000";"62700,00000000";"62";"mgreallyo@quantcast.com";"2025-05-08 22:36:36";"2025-05-08 22:36:37";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1037";"wc-processing";"IDR";"shop_order";"0,00000000";"329000,00000000";"63";"enernp@weibo.com";"2025-05-08 22:53:26";"2025-05-08 22:53:26";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1038";"wc-processing";"IDR";"shop_order";"0,00000000";"550000,00000000";"64";"rlangfatq@istockphoto.com";"2025-05-08 22:56:25";"2025-05-08 22:56:25";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1039";"wc-processing";"IDR";"shop_order";"0,00000000";"159000,00000000";"65";"akorneichikr@quantcast.com";"2025-05-08 22:59:51";"2025-05-08 22:59:52";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1040";"wc-processing";"IDR";"shop_order";"0,00000000";"160000,00000000";"66";"ggerards@instagram.com";"2025-05-08 23:02:06";"2025-05-08 23:02:06";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1041";"wc-processing";"IDR";"shop_order";"0,00000000";"44900,00000000";"67";"abrosiust@sun.com";"2025-05-08 23:10:21";"2025-05-08 23:10:22";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1042";"wc-processing";"IDR";"shop_order";"0,00000000";"160000,00000000";"68";"jdebellu@nationalgeographic.com";"2025-05-08 23:12:14";"2025-05-08 23:12:14";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1043";"wc-processing";"IDR";"shop_order";"0,00000000";"379000,00000000";"69";"lseagrovev@usa.gov";"2025-05-08 23:19:30";"2025-05-08 23:19:31";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1044";"wc-processing";"IDR";"shop_order";"0,00000000";"379000,00000000";"70";"epieroniw@blogs.com";"2025-05-08 23:23:15";"2025-05-08 23:23:16";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1045";"wc-processing";"IDR";"shop_order";"0,00000000";"52000,00000000";"71";"nveelx@123-reg.co.uk";"2025-05-08 23:25:58";"2025-05-08 23:25:58";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
"1046";"wc-processing";"IDR";"shop_order";"0,00000000";"44900,00000000";"72";"dfassety@unicef.org";"2025-05-08 23:28:35";"2025-05-08 23:28:36";"0";"cod";"Cash on delivery";"";"118.99.118.196";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";""
