"order_id";"order_date";"total_amount";"product_id";"order_item_name";"total_sales";"order_item_type";"product_qty";"product_net_revenue";"shipping_amount";"customer_id";"first_name";"last_name";"email";"country";"city";"state";"sku";"average_rating"
"1036";"2025-05-08 22:36:36";"62700,00000000";"565";"Atasan Basic Wanita";"2";"line_item";"1";"62700";"0";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"";"0,00"
"1037";"2025-05-08 22:53:26";"329000,00000000";"1020";"This Is April Atasan Kemeja Lengan Panjang";"8";"line_item";"1";"329000";"0";"24";"Eberto";"Nern";"enernp@weibo.com";"ID";"Pontianak";"KB";"";"0,00"
"1038";"2025-05-08 22:56:25";"550000,00000000";"1019";"AMOENE [MADE] Long Strap Dress Navy";"8";"line_item";"1";"550000";"0";"20";"Roma";"Langfat";"rlangfatq@istockphoto.com";"ID";"Kota Singkawang";"KB";"";"0,00"
"1039";"2025-05-08 22:59:51";"159000,00000000";"1015";"Point One NINDY Khaki Tunik Dress";"1";"line_item";"1";"159000";"0";"25";"Alexandros";"Korneichik";"akorneichikr@quantcast.com";"ID";"Kota Mempawah";"KB";"";"0,00"
"1040";"2025-05-08 23:02:06";"160000,00000000";"1010";"Hosofshopaholic - Darel Skirt";"7";"line_item";"1";"160000";"0";"26";"Giuseppe";"Gerard";"ggerards@instagram.com";"ID";"Kabupaten Sintang";"KB";"";"0,00"
"1041";"2025-05-08 23:10:21";"44900,00000000";"983";"ORO PANTS";"4";"line_item";"1";"44900";"0";"27";"Angelique";"Brosius";"abrosiust@sun.com";"ID";"Singkawang";"KB";"";"0,00"
"1042";"2025-05-08 23:12:14";"160000,00000000";"1010";"Hosofshopaholic - Darel Skirt";"7";"line_item";"1";"160000";"0";"28";"Jessy";"De Bell";"jdebellu@nationalgeographic.com";"ID";"Pontianak";"KB";"";"0,00"
"1043";"2025-05-08 23:19:30";"379000,00000000";"1002";"This Is April Rok Midi Crochet Wanita";"7";"line_item";"1";"379000";"0";"29";"Lenna";"Seagrove";"lseagrovev@usa.gov";"ID";"Kota Mempawah";"KB";"";"0,00"
"1044";"2025-05-08 23:23:15";"379000,00000000";"1002";"This Is April Rok Midi Crochet Wanita";"7";"line_item";"1";"379000";"0";"30";"Estelle";"Pieroni";"epieroniw@blogs.com";"ID";"Kota Pontianak";"KB";"";"0,00"
"1045";"2025-05-08 23:25:58";"52000,00000000";"586";"Baju Atasan Lengan Pendek Wanita";"3";"line_item";"1";"52000";"0";"31";"Nady";"Veel";"nveelx@123-reg.co.uk";"ID";"Jakarta Barat";"JK";"";"0,00"
