"index_id";"order_id";"total_amount";"customer_id";"first_name";"last_name";"email";"country";"city";"state";"order_item_name";"order_item_type";"product_qty"
"1";"1068";"151900,00000000";"14";"Fairlie";"Preshaw";"fpreshawg@china.com.cn";"ID";"Kota Pontianak";"KB";"URBAN&CO BASIC Sandal Wanita Sendal Teplek Casual - Demi";"line_item";"1"
"2";"1068";"151900,00000000";"14";"Fairlie";"Preshaw";"fpreshawg@china.com.cn";"ID";"Kota Pontianak";"KB";"Free shipping";"shipping";"1"
"3";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"AGE FREE Tya Bag Mini Sling Bag";"line_item";"1"
"4";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"AGE FREE Tya Bag Mini Sling Bag";"line_item";"1"
"5";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"AGE FREE Tya Bag Mini Sling Bag";"line_item";"1"
"6";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"AMOENE [MADE] Long Strap Dress Navy";"line_item";"1"
"7";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"AMOENE [MADE] Long Strap Dress Navy";"line_item";"1"
"8";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"AMOENE [MADE] Long Strap Dress Navy";"line_item";"1"
"9";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"Bikini";"line_item";"1"
"10";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"Bikini";"line_item";"1"
"11";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"Bikini";"line_item";"1"
"12";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"Free shipping";"shipping";"1"
"13";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"Free shipping";"shipping";"1"
"14";"1100";"729019,00000000";"15";"Danyelle";"Brideaux";"dbrideaux27@mit.edu";"ID";"Depok";"JB";"Free shipping";"shipping";"1"
"15";"1069";"329000,00000000";"16";"Ambrosius";"Beall";"abeall25@mtv.com";"ID";"Medan";"SU";"This Is April Atasan Kemeja Lengan Panjang";"line_item";"1"
"16";"1069";"329000,00000000";"16";"Ambrosius";"Beall";"abeall25@mtv.com";"ID";"Medan";"SU";"Free shipping";"shipping";"1"
"17";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"URBAN&CO BASIC Sandal Wanita Sendal Teplek Casual - Demi";"line_item";"1"
"18";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"URBAN&CO BASIC Sandal Wanita Sendal Teplek Casual - Demi";"line_item";"1"
"19";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"URBAN&CO BASIC Sandal Wanita Sendal Teplek Casual - Demi";"line_item";"1"
"20";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"URBAN&CO BASIC Sandal Wanita Sendal Teplek Casual - Demi";"line_item";"1"
"21";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Tunik Aruna-Seri Ice";"line_item";"1"
"22";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Tunik Aruna-Seri Ice";"line_item";"1"
"23";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Tunik Aruna-Seri Ice";"line_item";"1"
"24";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Tunik Aruna-Seri Ice";"line_item";"1"
"25";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Wispie Money Magnet Fitted Shirt";"line_item";"1"
"26";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Wispie Money Magnet Fitted Shirt";"line_item";"1"
"27";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Wispie Money Magnet Fitted Shirt";"line_item";"1"
"28";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Wispie Money Magnet Fitted Shirt";"line_item";"1"
"29";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"WiZi Anti UV Sport Jacket";"line_item";"1"
"30";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"WiZi Anti UV Sport Jacket";"line_item";"1"
"31";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"WiZi Anti UV Sport Jacket";"line_item";"1"
"32";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"WiZi Anti UV Sport Jacket";"line_item";"1"
"33";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Free shipping";"shipping";"1"
"34";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Free shipping";"shipping";"1"
"35";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Free shipping";"shipping";"1"
"36";"1102";"650400,00000000";"19";"Marlene";"Greally";"mgreallyo@quantcast.com";"ID";"Pontianak";"KB";"Free shipping";"shipping";"1"
"37";"1081";"499000,00000000";"20";"Roma";"Langfat";"rlangfatq@istockphoto.com";"ID";"Kota Singkawang";"KB";"LOOKBOUTIQUESTORE - Glyn Lace Shirt";"line_item";"1"
"38";"1081";"499000,00000000";"20";"Roma";"Langfat";"rlangfatq@istockphoto.com";"ID";"Kota Singkawang";"KB";"Free shipping";"shipping";"1"
"39";"1070";"20580,00000000";"21";"Dimitry";"Fasset";"dfassety@unicef.org";"ID";"Kota Jakarta";"JK";"Oversize tshirt Wanita";"line_item";"1"
"40";"1070";"20580,00000000";"21";"Dimitry";"Fasset";"dfassety@unicef.org";"ID";"Kota Jakarta";"JK";"Free shipping";"shipping";"1"
"41";"1082";"473000,00000000";"22";"Liza";"Gambell";"lgambell26@nih.gov";"ID";"Semarang";"JT";"Kaos Wanita Oversize";"line_item";"1"
"42";"1082";"473000,00000000";"22";"Liza";"Gambell";"lgambell26@nih.gov";"ID";"Semarang";"JT";"Kaos Wanita Oversize";"line_item";"1"
